time,ethusdt,btcusdt
1681117732.7303143,1857.75,28284.42
1681117733.645621,1857.75,28284.42
1681117734.7696755,1857.74,28284.41
1681117735.8028457,1857.74,28284.41
1681117736.9226456,1857.75,28284.41
1681117737.9464025,1857.75,28284.42
1681117738.9688225,1857.75,28284.42
1681117739.992697,1857.74,28284.52
1681117741.0175233,1857.75,28284.52
1681117742.0439816,1857.76,28284.52
1681117743.5819302,1857.75,28284.98
1681117744.60592,1857.75,28285.0
1681117745.7337472,1857.76,28285.58
1681117747.3645456,1857.76,28285.57
1681117748.9051511,1857.76,28285.58
1681117749.9257476,1857.75,28285.57
1681117750.949816,1857.75,28285.58
1681117751.9838383,1857.75,28285.58
1681117753.0164168,1857.76,28286.32
1681117754.1252604,1857.76,28286.5
1681117755.2661512,1857.76,28286.5
1681117756.275115,1857.77,28286.5
1681117757.3024764,1857.78,28287.37
1681117758.3360622,1857.79,28287.37
1681117759.3474603,1857.79,28287.38
1681117760.3759646,1857.79,28287.38
1681117761.8939886,1857.78,28287.38
1681117762.9542248,1857.78,28287.38
1681117764.05774,1857.79,28287.38
1681117765.0820365,1857.8,28287.38
1681117766.1056387,1857.79,28287.37
1681117767.135531,1857.8,28287.38
1681117768.1591601,1857.8,28287.37
1681117769.1819417,1857.79,28287.38
1681117770.2039747,1857.79,28287.38
1681117771.2310889,1857.79,28287.68
1681117772.1811488,1857.79,28287.68
1681117773.2743683,1857.79,28287.68
1681117774.2971241,1857.84,28287.69
1681117775.833989,1857.85,28287.68
1681117776.8611052,1857.85,28287.68
1681117777.8817105,1857.84,28289.54
1681117778.9061856,1857.84,28292.08
1681117779.9291012,1858.04,28292.24
1681117780.956438,1858.04,28292.25
1681117781.9807496,1858.04,28292.25
1681117783.629626,1858.04,28292.25
1681117784.7477427,1858.05,28292.25
1681117785.7799866,1858.05,28292.25
1681117786.7896962,1858.05,28292.25
1681117787.8193119,1858.05,28292.24
1681117788.8430839,1858.04,28292.24
1681117789.8666127,1858.04,28292.25
1681117790.8860874,1858.05,28292.25
1681117791.8081725,1858.04,28292.24
1681117792.8361309,1858.05,28292.25
1681117793.8674972,1858.05,28292.25
1681117794.8892255,1858.04,28292.25
1681117795.9092581,1858.04,28292.24
1681117796.930974,1858.04,28292.24
1681117797.9513867,1858.04,28292.24
1681117798.975755,1858.04,28292.24
1681117800.0053418,1858.05,28292.25
1681117801.027814,1858.05,28292.25
1681117802.0679789,1858.05,28292.24
1681117803.1760006,1858.04,28292.24
1681117804.2053258,1858.04,28292.25
1681117805.2787635,1858.04,28292.24
1681117806.3542016,1858.04,28292.25
1681117807.886999,1858.04,28292.31
1681117809.421058,1858.04,28292.32
